treatment,run_id,uses_cohorts,solution_found,solution_size,update_found,fitness,num_antagonists,sorts_per_antagonist,network
TESTS_COEVO__SEL_CLEX32,1312,1,True,62,385432,512.516,32,16,"[(13,4),(11,12),(9,15),(5,7),(15,7),(6,10),(0,3),(9,5),(1,2),(6,1),(0,4),(0,5),(8,14),(6,3),(6,13),(14,10),(2,12),(8,11),(12,14),(3,11),(7,4),(12,7),(10,2),(13,15),(8,1),(5,2),(9,6),(14,15),(3,6),(8,4),(13,9),(0,1),(4,2),(10,11),(12,14),(8,5),(13,11),(1,3),(8,11),(11,6),(14,13),(5,7),(1,2),(4,3),(3,2),(6,8),(9,10),(10,12),(5,4),(7,9),(7,6),(13,12),(4,6),(10,9),(10,11),(5,7),(3,4),(5,6),(9,8),(7,8),(11,12),(9,10)]"
TESTS_COEVO__SEL_CLEX32,1313,1,True,61,199938,512.523,32,16,"[(4,3),(15,1),(14,0),(9,11),(9,0),(5,8),(2,6),(13,7),(11,8),(3,5),(15,4),(12,10),(11,15),(13,14),(6,12),(2,7),(1,10),(9,7),(3,1),(5,10),(2,0),(8,6),(12,14),(14,15),(10,9),(4,13),(6,4),(7,3),(14,10),(12,11),(8,13),(11,8),(5,2),(5,7),(5,8),(1,0),(11,6),(13,12),(7,6),(4,3),(1,2),(9,8),(12,10),(13,14),(4,2),(8,4),(5,6),(3,1),(3,2),(11,10),(4,5),(8,6),(9,7),(7,10),(9,11),(7,8),(4,3),(5,6),(13,12),(10,9),(12,11)]"
TESTS_COEVO__SEL_CLEX32,1314,1,True,61,22874,512.523,32,16,"[(0,11),(15,9),(6,7),(3,1),(9,6),(8,14),(2,10),(12,4),(7,12),(13,5),(3,14),(0,5),(2,4),(5,9),(8,1),(13,10),(11,15),(12,13),(3,7),(1,2),(4,8),(9,8),(11,10),(11,7),(15,14),(15,13),(12,14),(6,0),(11,13),(5,4),(10,3),(6,2),(14,9),(6,5),(12,5),(9,11),(1,0),(12,8),(3,2),(13,14),(9,12),(4,1),(3,4),(8,7),(10,8),(11,13),(4,7),(8,5),(6,10),(10,12),(6,8),(6,7),(2,1),(12,11),(9,8),(4,5),(3,2),(5,6),(8,7),(10,9),(3,4)]"
TESTS_COEVO__SEL_CLEX32,1315,1,True,62,362556,512.516,32,16,"[(13,11),(2,10),(14,0),(7,8),(7,0),(14,13),(15,6),(15,8),(12,1),(5,4),(9,3),(12,5),(9,10),(2,6),(6,5),(11,3),(4,1),(0,2),(15,12),(14,10),(13,8),(11,7),(4,9),(11,6),(14,15),(3,1),(10,12),(14,12),(3,2),(8,4),(13,9),(13,11),(10,6),(1,0),(2,4),(7,5),(1,5),(9,3),(4,5),(10,9),(7,8),(12,11),(14,13),(2,1),(4,2),(6,3),(3,7),(6,7),(12,13),(8,11),(8,9),(8,5),(5,6),(10,11),(5,3),(9,7),(10,7),(8,7),(6,7),(12,11),(3,4),(10,9)]"
TESTS_COEVO__SEL_CLEX32,1316,1,True,62,10329,512.516,32,16,"[(15,13),(1,5),(11,6),(9,0),(7,4),(14,3),(2,10),(10,15),(14,5),(13,0),(1,2),(4,6),(9,11),(10,5),(12,8),(12,7),(9,7),(1,0),(3,8),(14,15),(7,5),(8,6),(13,2),(13,8),(6,1),(2,5),(12,11),(3,4),(2,4),(4,5),(14,9),(10,11),(7,10),(3,0),(12,15),(3,1),(9,10),(13,12),(3,4),(7,5),(9,8),(11,14),(8,5),(14,13),(12,11),(2,1),(9,6),(6,7),(13,12),(7,11),(9,10),(4,6),(7,9),(2,3),(5,4),(10,11),(3,4),(12,11),(9,10),(6,8),(8,7),(5,6)]"
TESTS_COEVO__SEL_CLEX32,1317,1,True,62,179436,512.516,32,16,"[(7,5),(4,6),(9,10),(8,2),(13,0),(3,15),(10,7),(14,1),(12,11),(15,12),(13,14),(5,9),(8,6),(0,1),(2,4),(12,7),(3,11),(10,8),(5,2),(15,14),(6,9),(11,1),(13,4),(14,8),(10,15),(6,1),(4,7),(11,9),(3,0),(10,13),(12,10),(0,2),(9,8),(5,3),(3,4),(11,13),(10,8),(14,12),(1,2),(12,11),(7,6),(9,11),(2,4),(4,6),(6,10),(14,13),(12,13),(7,5),(8,5),(9,8),(5,4),(10,7),(3,1),(2,3),(11,10),(8,6),(9,7),(12,11),(8,7),(6,5),(9,10),(3,4)]"
TESTS_COEVO__SEL_CLEX32,1318,1,True,64,262292,512.5,32,16,"[(13,1),(6,7),(14,4),(12,10),(5,11),(3,8),(15,2),(9,0),(9,15),(13,14),(10,4),(3,5),(1,6),(10,9),(8,11),(12,7),(6,5),(3,1),(0,2),(7,13),(8,2),(14,15),(12,11),(0,4),(14,11),(9,3),(7,2),(0,1),(12,15),(5,4),(3,1),(5,7),(6,9),(10,11),(4,2),(8,13),(14,12),(4,3),(13,12),(6,5),(9,8),(7,11),(6,7),(13,14),(9,11),(8,10),(10,6),(6,4),(5,4),(9,7),(4,8),(5,8),(8,6),(12,10),(1,2),(2,3),(4,3),(9,12),(7,10),(11,14),(11,13),(9,10),(12,11),(7,8)]"
TESTS_COEVO__SEL_CLEX32,1319,1,True,69,335617,512.461,32,16,"[(0,3),(6,10),(12,7),(4,9),(10,13),(15,2),(13,5),(1,9),(10,6),(8,0),(7,2),(5,14),(0,5),(1,4),(1,11),(9,8),(13,11),(2,6),(12,15),(2,1),(2,12),(3,14),(5,4),(8,11),(12,5),(14,9),(13,15),(6,5),(10,7),(5,3),(1,0),(1,8),(9,10),(6,11),(2,8),(12,13),(12,11),(3,2),(9,11),(5,13),(7,4),(8,7),(1,4),(5,6),(14,15),(11,6),(13,12),(4,3),(10,14),(9,7),(1,2),(10,12),(9,5),(8,10),(8,6),(6,4),(5,7),(6,9),(13,14),(11,10),(13,12),(2,3),(8,10),(5,3),(11,12),(7,4),(5,4),(7,6),(9,8)]"
TESTS_COEVO__SEL_CLEX32,1320,1,True,60,131793,512.531,32,16,"[(7,13),(2,15),(0,11),(10,4),(6,1),(12,9),(7,9),(3,14),(8,5),(12,13),(0,3),(2,1),(0,7),(5,4),(10,8),(8,3),(4,1),(6,15),(10,15),(14,11),(14,13),(12,6),(4,7),(5,11),(9,2),(0,1),(11,12),(15,14),(10,13),(14,13),(2,3),(9,8),(10,7),(5,6),(5,1),(8,6),(2,4),(12,9),(3,11),(12,14),(8,11),(9,13),(9,10),(5,4),(7,6),(12,13),(5,3),(5,7),(1,2),(9,8),(6,3),(6,5),(8,6),(2,4),(7,8),(4,3),(10,11),(9,10),(9,8),(11,12)]"
TESTS_COEVO__SEL_CLEX32,1321,1,True,61,156052,512.523,32,16,"[(3,15),(12,13),(4,10),(9,8),(7,5),(1,6),(3,1),(0,11),(2,14),(14,6),(4,2),(8,12),(11,13),(6,11),(15,10),(9,7),(12,4),(10,7),(5,0),(0,1),(5,3),(7,6),(13,9),(2,8),(5,12),(10,11),(15,14),(14,9),(13,15),(1,8),(9,8),(2,0),(12,13),(11,14),(3,4),(3,6),(7,8),(13,14),(4,5),(12,11),(1,2),(8,10),(4,9),(8,4),(10,5),(6,2),(9,11),(12,13),(5,8),(9,8),(10,11),(3,1),(7,6),(12,11),(4,6),(9,10),(3,2),(3,4),(7,5),(6,5),(7,8)]"
TESTS_COEVO__SEL_CLEX32,1322,1,True,62,114879,512.516,32,16,"[(12,10),(0,14),(7,5),(8,1),(3,11),(11,7),(6,9),(8,14),(15,4),(2,13),(1,0),(12,13),(9,15),(15,14),(3,4),(1,12),(5,10),(2,6),(6,10),(9,7),(7,1),(13,11),(15,13),(5,0),(14,11),(4,8),(3,2),(9,12),(6,4),(8,10),(6,9),(0,2),(10,11),(5,3),(1,2),(12,14),(3,4),(9,5),(7,5),(7,8),(2,4),(11,13),(14,13),(6,7),(10,7),(7,6),(5,4),(11,12),(10,11),(9,8),(9,11),(8,10),(12,13),(1,3),(11,12),(6,4),(3,2),(7,5),(5,6),(3,4),(7,8),(10,9)]"
TESTS_COEVO__SEL_CLEX32,1323,1,True,61,17730,512.523,32,16,"[(11,5),(4,2),(14,0),(12,6),(8,7),(9,10),(14,10),(1,15),(9,1),(15,8),(13,3),(5,2),(12,4),(13,11),(10,4),(3,6),(13,15),(12,14),(7,0),(0,2),(8,11),(1,3),(5,6),(9,7),(12,11),(13,10),(7,5),(11,10),(8,4),(6,9),(0,1),(3,2),(1,2),(8,6),(7,3),(3,8),(15,14),(10,7),(5,4),(11,6),(12,14),(5,2),(9,13),(1,4),(12,9),(10,8),(3,5),(7,6),(14,13),(9,11),(3,6),(2,4),(10,11),(3,4),(7,5),(8,9),(9,10),(7,8),(12,13),(12,11),(5,6)]"
TESTS_COEVO__SEL_CLEX32,1324,1,True,61,120763,512.523,32,16,"[(7,13),(10,6),(4,11),(10,13),(0,15),(2,9),(0,4),(7,6),(1,14),(8,5),(7,4),(12,3),(12,9),(3,2),(0,2),(5,1),(12,13),(15,14),(10,3),(9,5),(5,4),(8,11),(6,1),(14,8),(15,11),(2,6),(9,7),(14,10),(3,8),(11,12),(0,1),(2,4),(6,5),(7,5),(15,13),(11,8),(12,14),(3,1),(9,13),(10,11),(4,3),(6,8),(12,9),(10,7),(6,5),(11,9),(2,1),(7,4),(7,6),(8,10),(13,14),(11,10),(8,9),(3,2),(7,8),(12,13),(11,12),(5,4),(10,9),(3,4),(6,5)]"
TESTS_COEVO__SEL_CLEX32,1325,1,True,62,219256,512.516,32,16,"[(6,10),(11,1),(12,5),(15,0),(8,13),(10,13),(14,4),(14,12),(6,1),(14,13),(2,7),(7,15),(4,2),(9,3),(11,9),(0,3),(11,15),(8,5),(7,10),(15,14),(3,6),(9,12),(5,2),(9,7),(13,11),(10,12),(0,1),(4,8),(2,0),(12,13),(14,13),(4,1),(6,8),(14,8),(11,9),(13,12),(5,3),(11,10),(6,10),(8,11),(7,1),(10,4),(5,4),(9,4),(3,2),(11,13),(1,2),(7,3),(12,5),(3,2),(6,7),(9,5),(10,8),(10,12),(6,4),(4,3),(12,11),(9,8),(9,10),(7,5),(8,7),(6,5)]"
TESTS_COEVO__SEL_CLEX32,1326,1,True,61,23546,512.523,32,16,"[(6,4),(3,9),(12,5),(15,14),(0,11),(8,7),(2,10),(7,14),(15,9),(2,3),(13,1),(5,0),(13,11),(3,5),(10,8),(0,7),(1,4),(14,4),(8,9),(1,2),(10,15),(6,12),(0,1),(5,14),(12,13),(6,11),(9,12),(13,15),(8,6),(4,3),(11,10),(6,1),(9,8),(7,2),(2,3),(5,4),(6,3),(11,14),(8,4),(5,9),(12,13),(8,7),(5,10),(11,12),(8,9),(13,14),(11,10),(12,13),(1,2),(9,11),(7,4),(6,5),(3,2),(4,5),(8,10),(6,7),(9,10),(8,7),(6,5),(4,3),(11,12)]"
TESTS_COEVO__SEL_CLEX32,1327,1,True,61,405845,512.523,32,16,"[(15,6),(1,10),(2,0),(13,5),(7,11),(3,9),(12,8),(4,14),(2,10),(8,3),(14,15),(1,7),(11,13),(13,10),(4,6),(9,12),(11,2),(5,0),(9,6),(4,3),(14,8),(7,5),(12,15),(1,0),(2,6),(8,1),(9,14),(7,10),(11,12),(9,7),(11,8),(3,0),(13,15),(1,3),(5,4),(13,12),(11,7),(8,6),(4,2),(4,3),(5,8),(2,1),(9,12),(7,5),(14,10),(2,3),(6,4),(9,11),(8,10),(8,7),(7,6),(5,4),(8,9),(5,6),(13,14),(11,10),(9,10),(3,4),(13,12),(8,7),(11,12)]"
TESTS_COEVO__SEL_CLEX32,1328,1,True,62,45387,512.516,32,16,"[(8,5),(13,14),(6,11),(7,2),(3,15),(15,7),(14,11),(10,0),(3,6),(1,9),(12,4),(13,1),(0,2),(14,15),(13,2),(7,11),(5,4),(4,3),(1,0),(10,9),(4,2),(8,12),(5,9),(10,12),(3,0),(12,15),(14,10),(5,7),(8,6),(6,1),(8,13),(14,12),(11,9),(11,13),(10,9),(5,4),(12,11),(6,9),(8,9),(5,10),(2,3),(1,4),(10,9),(8,5),(4,3),(13,14),(13,12),(8,7),(7,5),(2,1),(11,8),(6,4),(5,4),(3,2),(8,9),(7,6),(4,3),(8,7),(6,5),(11,10),(10,9),(11,12)]"
TESTS_COEVO__SEL_CLEX32,1329,1,True,62,33272,512.516,32,16,"[(0,15),(8,3),(13,1),(5,6),(9,7),(11,14),(6,13),(0,5),(2,12),(3,7),(12,14),(11,2),(4,10),(10,15),(5,7),(1,4),(8,9),(3,1),(10,6),(8,11),(8,6),(0,2),(4,12),(13,15),(12,7),(4,5),(14,9),(15,14),(13,10),(9,11),(13,11),(3,2),(12,14),(9,10),(8,5),(3,11),(7,8),(0,1),(10,12),(5,3),(7,9),(11,8),(14,13),(4,2),(12,13),(8,10),(6,1),(1,2),(6,4),(5,9),(6,5),(7,5),(3,5),(4,2),(6,8),(3,4),(11,12),(10,9),(11,10),(7,5),(6,7),(8,9)]"
TESTS_COEVO__SEL_CLEX32,1330,1,True,61,132033,512.523,32,16,"[(5,14),(15,2),(3,7),(0,12),(11,10),(8,6),(4,9),(1,13),(10,2),(11,15),(6,5),(13,9),(14,8),(12,7),(9,7),(0,4),(3,1),(13,12),(11,8),(3,4),(1,2),(5,0),(15,14),(8,3),(6,10),(7,6),(2,5),(12,11),(8,5),(15,13),(14,9),(8,7),(0,1),(13,14),(9,11),(6,1),(4,10),(12,10),(5,4),(2,3),(11,7),(10,13),(1,2),(11,8),(3,6),(4,6),(5,9),(10,9),(12,14),(7,5),(5,4),(7,6),(10,11),(12,13),(8,9),(2,3),(7,8),(5,6),(3,4),(10,9),(12,11)]"
TESTS_COEVO__SEL_LEX,1001,0,True,65,48635,16384.5,1024,16,"[(3,8),(7,10),(15,6),(13,9),(14,4),(11,1),(15,14),(0,12),(0,3),(4,6),(7,9),(5,2),(10,11),(8,5),(14,13),(2,1),(1,4),(3,9),(7,0),(8,12),(11,14),(6,2),(15,12),(11,5),(6,9),(8,10),(13,5),(13,8),(15,14),(3,4),(12,10),(2,7),(8,5),(14,9),(0,1),(8,6),(11,8),(7,4),(12,11),(2,1),(8,7),(5,3),(10,13),(8,13),(4,10),(4,6),(3,1),(7,10),(12,14),(11,9),(10,9),(8,10),(11,12),(11,13),(2,5),(2,3),(3,4),(5,4),(8,9),(10,11),(12,13),(6,5),(5,7),(7,6),(8,7)]"
TESTS_COEVO__SEL_LEX,1002,0,True,64,31910,16384.5,1024,16,"[(9,11),(0,3),(13,15),(6,1),(10,7),(5,12),(13,7),(5,1),(4,2),(14,8),(6,12),(0,9),(8,2),(3,4),(5,13),(7,2),(8,9),(11,14),(15,10),(3,8),(4,12),(3,5),(0,1),(10,11),(11,4),(2,0),(9,13),(6,8),(1,7),(15,14),(7,4),(14,8),(12,15),(5,6),(9,10),(6,10),(5,9),(11,14),(6,8),(7,8),(5,2),(3,1),(13,12),(3,5),(6,4),(6,7),(14,13),(1,2),(12,11),(3,2),(7,9),(10,8),(13,12),(5,7),(4,5),(3,4),(9,11),(12,10),(8,9),(6,7),(10,11),(7,8),(9,10),(5,6)]"
TESTS_COEVO__SEL_LEX,1003,0,True,65,54837,16384.5,1024,16,"[(15,9),(8,0),(2,10),(13,7),(14,11),(2,7),(6,1),(4,12),(8,15),(7,8),(9,0),(5,3),(3,1),(14,12),(11,4),(13,5),(10,6),(1,4),(12,3),(9,6),(13,15),(8,12),(3,2),(10,14),(9,5),(10,13),(1,2),(10,5),(14,15),(3,0),(11,6),(4,7),(8,3),(5,3),(10,8),(14,12),(11,9),(6,7),(13,11),(5,7),(9,10),(4,0),(8,9),(2,4),(6,3),(0,1),(2,3),(4,6),(7,8),(1,3),(11,12),(7,5),(14,13),(6,7),(8,11),(9,8),(1,2),(10,11),(5,4),(6,5),(10,9),(3,4),(7,8),(12,13),(11,12)]"
TESTS_COEVO__SEL_LEX,1004,0,True,62,12867,16384.5,1024,16,"[(13,2),(7,11),(10,14),(3,1),(3,14),(9,4),(15,6),(12,0),(11,15),(4,1),(12,9),(8,5),(7,0),(10,6),(14,15),(6,0),(2,5),(2,1),(11,9),(5,3),(11,5),(8,13),(10,7),(9,3),(0,1),(8,4),(10,8),(13,12),(6,4),(15,13),(9,6),(13,10),(12,14),(12,6),(11,14),(2,7),(5,7),(8,9),(4,2),(11,10),(13,14),(8,5),(11,13),(1,3),(7,12),(4,3),(8,7),(9,12),(4,6),(2,1),(11,12),(10,9),(8,9),(3,2),(4,5),(11,10),(9,10),(5,6),(5,7),(4,3),(7,6),(8,7)]"
TESTS_COEVO__SEL_LEX,1005,0,True,61,43574,16384.5,1024,16,"[(10,11),(4,13),(3,2),(7,5),(12,0),(6,9),(1,8),(13,12),(0,2),(3,8),(14,15),(14,4),(3,12),(9,7),(11,15),(15,13),(10,6),(11,7),(10,2),(8,9),(13,8),(9,15),(1,5),(6,0),(3,7),(5,14),(4,1),(0,1),(10,14),(6,4),(5,2),(8,7),(12,11),(14,13),(9,12),(7,5),(8,10),(1,4),(8,11),(3,2),(3,4),(13,9),(10,9),(11,6),(6,7),(6,4),(14,12),(2,1),(11,7),(5,8),(5,4),(3,2),(3,4),(9,7),(6,8),(10,11),(8,7),(5,6),(10,9),(12,13),(12,11)]"
TESTS_COEVO__SEL_LEX,1006,0,True,64,74141,16384.5,1024,16,"[(1,5),(2,13),(11,15),(3,12),(10,0),(9,6),(15,13),(4,7),(14,8),(8,0),(2,11),(10,14),(1,4),(11,4),(6,3),(12,9),(14,15),(5,7),(7,12),(5,13),(10,13),(11,8),(10,9),(1,2),(2,8),(3,0),(4,3),(5,9),(1,0),(6,2),(7,14),(10,11),(15,12),(11,14),(2,3),(4,8),(3,1),(6,13),(1,5),(7,10),(6,4),(12,13),(10,9),(7,6),(11,12),(11,7),(10,8),(6,3),(9,8),(9,7),(10,11),(1,2),(14,13),(5,4),(2,4),(10,9),(12,13),(8,5),(6,8),(12,11),(3,5),(5,6),(4,3),(8,7)]"
TESTS_COEVO__SEL_LEX,1007,0,True,64,61512,16384.5,1024,16,"[(6,2),(15,4),(9,10),(12,11),(3,5),(8,1),(13,0),(5,6),(7,14),(13,15),(10,8),(14,12),(1,3),(2,9),(12,9),(4,0),(11,7),(4,3),(11,8),(15,14),(2,1),(7,0),(2,7),(12,4),(10,6),(1,0),(13,5),(14,6),(8,5),(9,3),(11,13),(15,10),(9,8),(6,7),(8,4),(2,1),(14,12),(4,6),(3,5),(7,8),(7,9),(9,12),(1,3),(14,10),(12,11),(5,2),(6,11),(3,2),(5,6),(11,7),(10,13),(10,8),(14,13),(6,7),(9,11),(9,8),(11,9),(12,13),(4,5),(12,10),(7,8),(11,10),(4,3),(5,6)]"
TESTS_COEVO__SEL_LEX,1008,0,True,67,55428,16384.5,1024,16,"[(8,13),(12,2),(3,7),(14,1),(10,15),(6,11),(2,6),(12,11),(15,14),(4,5),(0,9),(1,10),(7,10),(5,13),(2,1),(8,4),(0,3),(9,11),(6,14),(0,4),(2,8),(13,14),(9,7),(5,3),(2,4),(12,15),(11,10),(6,3),(14,11),(7,4),(5,10),(12,8),(6,8),(1,0),(10,15),(8,7),(5,13),(2,1),(8,13),(6,7),(9,8),(15,14),(8,5),(4,3),(12,11),(6,5),(8,7),(13,12),(9,10),(1,3),(2,4),(4,6),(13,14),(11,10),(9,10),(2,3),(10,12),(5,3),(9,8),(9,10),(11,13),(4,5),(7,6),(8,7),(12,11),(6,5),(6,7)]"
